artist,city,state,country,region
2 chainz,Atlanta,GA,US,South
chance the rapper,Chicago,IL,US,Midwest
kyle,Ventura,CA,US,West
yo gotti,Memphis,TN,US,South
machine gun kelly,Cleveland,OH,US,Midwest
lil yachty,Atlanta,GA,US,South
desiigner,Brooklyn,NY,US,East
kevin gates,Baton Rouge,LA,US,South
fetty wap,Paterson,NJ,US,East
tory lanez,,Ontario,Canada,Canada
frank ocean,New Orleans,LA,US,South
jeezy,Atlanta,GA,US,South
dram,Hampton,VA,US,South
wiz khalifa,Pittsburgh,PA,US,East
